"id","name","url_part","stores_count","regions_count","active","created_at","updated_at"
"1","Acme","acme","16","0","1","1969-12-31 19:00:00","2017-11-15 19:53:14"
"2","Adams","adams","7","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"3","Albertson's","albertson","126","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"4","Baker's","baker","11","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"5","Balducci's","balducci","10","0","1","1969-12-31 19:00:00","2016-04-20 14:22:22"
"6","Buelher's","buelher","15","0","1","1969-12-31 19:00:00","2017-11-15 20:02:46"
"7","Byerly's","byerly","13","0","1","1969-12-31 19:00:00","2015-04-22 17:44:54"
"8","City Market","citymarket","36","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"9","D'Agostinos","agostinos","17","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"10","Dierberg's","dierberg","27","0","1","1969-12-31 19:00:00","2015-03-11 13:50:53"
"11","Dillions","dillions","79","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"12","Dorthy Lane Markets","dorthylanemarkets","3","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"13","Fairways","fairways","20","0","1","1969-12-31 19:00:00","2016-04-20 11:15:19"
"14","Festival Foods","festivalfoods","19","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"15","Food 4 Less","foodless","128","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"16","Foodsco","foodsco","22","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"17","Fred Meyer","fredmeyer","133","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"18","Fresh Market","freshmarket","143","0","1","1969-12-31 19:00:00","2017-03-04 10:58:30"
"19","Frys","frys","122","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"20","Gerbes","gerbes","7","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"21","Giant Eagle","gianteagle","298","0","1","1969-12-31 19:00:00","2020-06-25 15:03:36"
"22","Graeter's","graeter","43","0","1","1969-12-31 19:00:00","2015-12-29 09:59:45"
"23","Heinen's","heinen","20","0","1","1969-12-31 19:00:00","2017-11-15 20:16:03"
"24","Hiller's","hiller","12","0","1","1969-12-31 19:00:00","2015-07-21 12:29:46"
"25","Independents","independents","478","0","1","1969-12-31 19:00:00","2017-03-02 10:41:27"
"26","Ingles","ingles","94","0","1","1969-12-31 19:00:00","2016-05-10 15:34:52"
"27","Jay C","jay","23","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"28","Jewel","jewel","182","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"29","King Soopers","kingsoopers","117","0","1","1969-12-31 19:00:00","2015-08-02 11:46:23"
"30","Kowalski's","kowalski","9","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"31","The Kroger Co.","kroger","1365","3","1","1969-12-31 19:00:00","2020-09-23 15:18:20"
"32","Lund's","lund","13","0","1","1969-12-31 19:00:00","2015-04-20 19:15:33"
"33","Mariano's","mariano","10","0","1","1969-12-31 19:00:00","2016-08-24 16:42:07"
"34","Marsh","marsh","41","0","1","1969-12-31 19:00:00","2016-01-21 13:02:34"
"35","Meijer","meijer","206","0","1","1969-12-31 19:00:00","2019-09-12 21:38:33"
"36","Nugget","nugget","9","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"37","Owens","owens","5","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"38","Payless","payless","6","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"39","Publix","publix","1078","0","1","1969-12-31 19:00:00","2016-05-12 12:10:57"
"40","QFC","qfc","68","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"41","Ralphs","ralphs","251","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"42","Remke","remke","13","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"43","Ruler","ruler","31","0","0","1969-12-31 19:00:00","2016-07-20 00:30:35"
"44","Scotts","scotts","3","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"45","Smiths","smiths","133","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"46","Treasure Island","treasureisland","7","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"47","Walgreens","walgreens","72","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"48","Wegmans","wegmans","15","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"49","Whole Foods","wholefoods","203","0","1","1969-12-31 19:00:00","2017-02-20 15:08:15"
"50","Jungle Jims","junglejims","2","0","1","1969-12-31 19:00:00","2014-12-10 23:17:55"
"51","Harris Teeter","_NA_","237","0","1","1969-12-31 19:00:00","2015-05-06 22:44:47"
"52","Fresh Thyme Farmers Market","_NA_","32","0","1","1969-12-31 19:00:00","2017-05-19 14:27:57"
"53","EarthFare","_NA_","39","0","1","1969-12-31 19:00:00","2015-05-10 21:59:27"
"54","Costco","costco","10","0","1","2016-07-19 23:03:31","2016-07-20 00:11:35"
"55","Price Chopper","pricechopper","141","0","1","2016-07-19 23:04:24","2016-07-20 00:30:22"
"56","Target","target","180","0","1","2016-07-19 23:05:12","2016-07-20 00:11:35"
"57","Discount Drug Mart","ddm","73","0","1","2017-11-26 21:01:42","2017-11-26 21:09:30"
"58","Wal-Mart","walmart","48","0","1","1969-12-31 19:00:00","2020-06-05 16:20:38"
